"","Station","Year","GRID","TOT","easting","northing"
"439","BH39",2016,1,5,569902.276326293,2823973.58915746
"440","BH39",2016,2,5,569928.321837359,2823995.44393619
"441","BH39",2016,3,4,569966.624059515,2824027.58331668
"442","BH39",2017,1,4,569902.276326293,2823973.58915746
"443","BH39",2017,2,5,569928.321837359,2823995.44393619
"444","BH39",2017,3,4,569966.624059515,2824027.58331668
"445","BH39",2018,1,5,569902.276326293,2823973.58915746
"446","BH39",2018,2,5,569928.321837359,2823995.44393619
"447","BH39",2018,3,5,569966.624059515,2824027.58331668
"448","BH39",2019,1,3,569902.276326293,2823973.58915746
"449","BH39",2019,2,5,569928.321837359,2823995.44393619
"450","BH39",2019,3,4,569966.624059515,2824027.58331668
"451","BH39",2020,1,3,569902.276326293,2823973.58915746
"452","BH39",2020,2,3,569928.321837359,2823995.44393619
"453","BH39",2020,3,3,569966.624059515,2824027.58331668
"454","BH39",2021,1,3,569902.276326293,2823973.58915746
"455","BH39",2021,2,4,569928.321837359,2823995.44393619
"456","BH39",2021,3,3,569966.624059515,2824027.58331668
"457","BH39",2022,1,3,569902.276326293,2823973.58915746
"458","BH39",2022,2,4,569928.321837359,2823995.44393619
"459","BH39",2022,3,4,569966.624059515,2824027.58331668
"460","BH39",2023,1,4,569902.276326293,2823973.58915746
"461","BH39",2023,2,2,569928.321837359,2823995.44393619
"462","BH39",2023,3,2,569966.624059515,2824027.58331668
